project_id,camera_id,make,model,serial_number,year_purchased
2003286,2028488,,,,
2003286,2029684,,,,
2003286,2026689,,,,
2003286,2030165,,,,
2003286,2031430,,,,
2003286,2029391,,,,
2003286,2027873,,,,
2003286,2030795,,,,
2003286,2030059,,,,
2003286,2034830,,,,
2003286,2029410,,,,
2003286,2029396,,,,
2003286,2031068,,,,
2003286,2028585,,,,
2003286,2025943,,,,
2003286,2029157,,,,
2003286,2030014,,,,
2003286,2029979,,,,
2003286,2031873,,,,
2003286,2030172,,,,
2003286,2030075,,,,
2003286,2031432,,,,
2003286,2027921,,,,
2003286,2029967,,,,
2003286,2028441,,,,
2003286,2028127,,,,
2003286,2034336,,,,
2003286,2025946,,,,
2003286,2029704,,,,
2003286,2028610,,,,
2003286,2030735,,,,
2003286,2030005,,,,
2003286,2029933,,,,
2003286,2021497,,,,
2003286,2029716,,,,
2003286,2029207,,,,
2003286,2031140,,,,
2003286,2028582,,,,
2003286,2022717,,,,
2003286,2026500,,,,
2003286,2030632,,,,
2003286,2029578,,,,
2003286,2029209,,,,
2003286,2029687,,,,
2003286,2031393,,,,
2003286,2030016,,,,
2003286,2029549,,,,
2003286,2025952,,,,
2003286,2026540,,,,
2003286,2031397,,,,
2003286,2029894,,,,
2003286,2029953,,,,
2003286,2025957,,,,
2003286,2030741,,,,
2003286,2027945,,,,
2003286,2028299,,,,
2003286,2030088,,,,
2003286,2029612,,,,
2003286,2028580,,,,
2003286,2029680,,,,
2003286,2028615,,,,
2003286,2029171,,,,
2003286,2029576,,,,
2003286,2028442,,,,
2003286,2029560,,,,
2003286,2029590,,,,
2003286,2030783,,,,
2003286,2028252,,,,
2003286,2026542,,,,
2003286,2028574,,,,
2003286,2027938,,,,
2003286,2030173,,,,
2003286,2027953,,,,
2003286,2022712,,,,
2003286,2030130,,,,
2003286,2029170,,,,
2003286,2029975,,,,
2003286,2029697,,,,
2003286,2029600,,,,
2003286,2026546,,,,
2003286,2035396,,,,
2003286,2027872,,,,
2003286,2028683,,,,
2003286,2028300,,,,
2003286,2036014,,,,
2003286,2035141,,,,
2003286,2029628,,,,
2003286,2031073,,,,
2003286,2028301,,,,
2003286,2030167,,,,
2003286,2026501,,,,
2003286,2030879,,,,
2003286,2028452,,,,
2003286,2031139,,,,
2003286,2024927,,,,
2003286,2029686,,,,
2003286,2029645,,,,
2003286,2026490,,,,
2003286,2034292,,,,
2003286,2029452,,,,
2003286,2025962,,,,
2003286,2026688,,,,
2003286,2029629,,,,
2003286,2028393,,,,
2003286,2031421,,,,
2003286,2029388,,,,
2003286,2031390,,,,
2003286,2025956,,,,
2003286,2029646,,,,
2003286,2029565,,,,
2003286,2029412,,,,
2003286,2031134,,,,
2003286,2029696,,,,
2003286,2028600,,,,
2003286,2028477,,,,
2003286,2028679,,,,
2003286,2029588,,,,
2003286,2022713,,,,
2003286,2031135,,,,
2003286,2030868,,,,
2003286,2031136,,,,
2003286,2027948,,,,
2003286,2030201,,,,
2003286,2027955,,,,
2003286,2030759,,,,
2003286,2029610,,,,
2003286,2030087,,,,
2003286,2030052,,,,
2003286,2027870,,,,
2003286,2028457,,,,
2003286,2028124,,,,
2003286,2029510,,,,
2003286,2022710,,,,
2003286,2029567,,,,
2003286,2030869,,,,
2003286,2029742,,,,
2003286,2027946,,,,
2003286,2027949,,,,
2003286,2030058,,,,
2003286,2029893,,,,
2003286,2022714,,,,
2003286,2031872,,,,
2003286,2022716,,,,
2003286,2029690,,,,
2003286,2030781,,,,
2003286,2028608,,,,
2003286,2029711,,,,
2003286,2028605,,,,
2003286,2029995,,,,
2003286,2029717,,,,
2003286,2028491,,,,
2003286,2028307,,,,
2003286,2029689,,,,
2003286,2029608,,,,
2003286,2029962,,,,
2003286,2025951,,,,
2003286,2028228,,,,
2003286,2029735,,,,
2003286,2030175,,,,
2003286,2028481,,,,
2003286,2024883,,,,
2003286,2029176,,,,
2003286,2030089,,,,
2003286,2031072,,,,
2003286,2027864,,,,
2003286,2029905,,,,
2003286,2030083,,,,
2003286,2028304,,,,
2003286,2030755,,,,
2003286,2030093,,,,
2003286,2030071,,,,
2003286,2033568,,,,
2003286,2031064,,,,
2003286,2029643,,,,
2003286,2030053,,,,
2003286,2030068,,,,
2003286,2030066,,,,
2003286,2029552,,,,
2003286,2030070,,,,
2003286,2029964,,,,
2003286,2029740,,,,
2003286,2029730,,,,
2003286,2029935,,,,
2003286,2030685,,,,
2003286,2029557,,,,
2003286,2031395,,,,
2003286,2030057,,,,
2003286,2030875,,,,
2003286,2031464,,,,
2003286,2029677,,,,
2003286,2029591,,,,
2003286,2028309,,,,
2003286,2028305,,,,
2003286,2029748,,,,
2003286,2027858,,,,
2003286,2029694,,,,
2003286,2025960,,,,
2003286,2025942,,,,
2003286,2030176,,,,
2003286,2031070,,,,
2003286,2028684,,,,
2003286,2030054,,,,
2003286,2027922,,,,
2003286,2029635,,,,
2003286,2022715,,,,
2003286,2030079,,,,
2003286,2021663,,,,
2003286,2029734,,,,
2003286,2027862,,,,
2003286,2027918,,,,
2003286,2028676,,,,
2003286,2031142,,,,
2003286,2028041,,,,
2003286,2029206,,,,
2003286,2029720,,,,
2003286,2031431,,,,
2003286,2027919,,,,
2003286,2030734,,,,
2003286,2025963,,,,
2003286,2030063,,,,
2003286,2029991,,,,
2003286,2025935,,,,
2003286,2029204,,,,
2003286,2029556,,,,
2003286,2029695,,,,
2003286,2030015,,,,
2003286,2025955,,,,
2003286,2031388,,,,
2003286,2029700,,,,
2003286,2029957,,,,
2003286,2029682,,,,
2003286,2025950,,,,
2003286,2029569,,,,
2003286,2029702,,,,
2003286,2025961,,,,
2003286,2029632,,,,
2003286,2029579,,,,
2003286,2036016,,,,
2003286,2029631,,,,
2003286,2029714,,,,
2003286,2026686,,,,
2003286,2030955,,,,
2003286,2028351,,,,
2003286,2028259,,,,
2003286,2025958,,,,
2003286,2030065,,,,
2003286,2030874,,,,
2003286,2028634,,,,
2003286,2034319,,,,
2003286,2030854,,,,
2003286,2029729,,,,
2003286,2029202,,,,
2003286,2030011,,,,
2003286,2030751,,,,
2003286,2029722,,,,
2003286,2029951,,,,
2003286,2027952,,,,
2003286,2025933,,,,
2003286,2029693,,,,
2003286,2028894,,,,
2003286,2031460,,,,
2003286,2034335,,,,
2003286,2029156,,,,
2003286,2029663,,,,
2003286,2029902,,,,
2003286,2029601,,,,
2003286,2030072,,,,
2003286,2029727,,,,
2003286,2029411,,,,
2003286,2029604,,,,
2003286,2029173,,,,
2003286,2029602,,,,
2003286,2030162,,,,
2003286,2030092,,,,
2003286,2028725,,,,
2003286,2031141,,,,
2003286,2029903,,,,
2003286,2029970,,,,
2003286,2029681,,,,
2003286,2028230,,,,
2003286,2026502,,,,
2003286,2030193,,,,
2003286,2026545,,,,
2003286,2029715,,,,
2003286,2035144,,,,
2003286,2029960,,,,
2003286,2030094,,,,
2003286,2029516,,,,
2003286,2024886,,,,
2003286,2029636,,,,
2003286,2029703,,,,
2003286,2028601,,,,
2003286,2029449,,,,
2003286,2029546,,,,
2003286,2030007,,,,
2003286,2031461,,,,
2003286,2031389,,,,
2003286,2028075,,,,
2003286,2030992,,,,
2003286,2028297,,,,
2003286,2029172,,,,
2003286,2029208,,,,
2003286,2030684,,,,
2003286,2029698,,,,
2003286,2029083,,,,
2003286,2029723,,,,
2003286,2028440,,,,
2003286,2030067,,,,
2003286,2030682,,,,
2003286,2029568,,,,
2003286,2028618,,,,
2003286,2030074,,,,
2003286,2030055,,,,
2003286,2029954,,,,
2003286,2035416,,,,
2003286,2025940,,,,
2003286,2029637,,,,
2003286,2029955,,,,
2003286,2030069,,,,
2003286,2029692,,,,
2003286,2030084,,,,
2003286,2025937,,,,
2003286,2029747,,,,
2003286,2030717,,,,
2003286,2028893,,,,
2003286,2029699,,,,
2003286,2029389,,,,
2003286,2029718,,,,
2003286,2029993,,,,
2003286,2027951,,,,
2003286,2029662,,,,
2003286,2030118,,,,
2003286,2030090,,,,
2003286,2029959,,,,
2003286,2026684,,,,
2003286,2030078,,,,
2003286,2030148,,,,
2003286,2030163,,,,
2003286,2029965,,,,
2003286,2030166,,,,
2003286,2030064,,,,
2003286,2030200,,,,
2003286,2029639,,,,
2003286,2028298,,,,
2003286,2029257,,,,
2003286,2026491,,,,
2003286,2029930,,,,
2003286,2029969,,,,
2003286,2028249,,,,
2003286,2029897,,,,
2003286,2028308,,,,
2003286,2029675,,,,
2003286,2028073,,,,
2003286,2029514,,,,
2003286,2029688,,,,
2003286,2029642,,,,
2003286,2028602,,,,
2003286,2029641,,,,
2003286,2029936,,,,
2003286,2029706,,,,
2003286,2026539,,,,
2003286,2029934,,,,
2003286,2028251,,,,
2003286,2029996,,,,
2003286,2029408,,,,
2003286,2029583,,,,
2003286,2028668,,,,
2003286,2026720,,,,
2003286,2028352,,,,
2003286,2030896,,,,
2003286,2029605,,,,
2003286,2028607,,,,
2003286,2025932,,,,
2003286,2027941,,,,
2003286,2029547,,,,
2003286,2026488,,,,
2003286,2031394,,,,
2003286,2029174,,,,
2003286,2029966,,,,
2003286,2030085,,,,
2003286,2028479,,,,
2003286,2030017,,,,
2003286,2029726,,,,
2003286,2026565,,,,
2003286,2030686,,,,
2003286,2029183,,,,
2003286,2029084,,,,
2003286,2028219,,,,
2003286,2029932,,,,
2003286,2029929,,,,
2003286,2029589,,,,
2003286,2031133,,,,
2003286,2029974,,,,
2003286,2030199,,,,
2003286,2026489,,,,
2003286,2028311,,,,
2003286,2030145,,,,
2003286,2022719,,,,
2003286,2031384,,,,
2003286,2030091,,,,
2003286,2030080,,,,
2003286,2028490,,,,
2003286,2028453,,,,
2003286,2025947,,,,
2003286,2029956,,,,
2003286,2029253,,,,
2003286,2029989,,,,
2003286,2030636,,,,
2003286,2029444,,,,
2003286,2035143,,,,
2003286,2030764,,,,
2003286,2029746,,,,
2003286,2029584,,,,
2003286,2021262,,,,
2003286,2029988,,,,
2003286,2025934,,,,
2003286,2029978,,,,
2003286,2030082,,,,
2003286,2022718,,,,
2003286,2029676,,,,
2003286,2028728,,,,
2003286,2029259,,,,
2003286,2028682,,,,
2003286,2026687,,,,
2003286,2034320,,,,
2003286,2029725,,,,
2003286,2029971,,,,
2003286,2031392,,,,
2003286,2028487,,,,
2003286,2035401,,,,
2003286,2029710,,,,
2003286,2029937,,,,
2003286,2027954,,,,
2003286,2029901,,,,
2003286,2029744,,,,
2003286,2029550,,,,
2003286,2030746,,,,
2003286,2029405,,,,
2003286,2030076,,,,
2003286,2035146,,,,
2003286,2029571,,,,
2003286,2029997,,,,
2003286,2029958,,,,
2003286,2029638,,,,
2003286,2030749,,,,
2003286,2026560,,,,
2003286,2024888,,,,
2003286,2029582,,,,
2003286,2031069,,,,
2003286,2025931,,,,
2003286,2029982,,,,
2003286,2030134,,,,
2003286,2030796,,,,
2003286,2029630,,,,
2003286,2028619,,,,
2003286,2035391,,,,
2003286,2029394,,,,
2003286,2034836,,,,
2003286,2028306,,,,
2003286,2029765,,,,
2003286,2030081,,,,
2003286,2028686,,,,
2003286,2036141,,,,
2003286,2025944,,,,
2003286,2030012,,,,
2003286,2029713,,,,
2003286,2030096,,,,
2003286,2029651,,,,
2003286,2031386,,,,
2003286,2029620,,,,
2003286,2029621,,,,
2003286,2030798,,,,
2003286,2029931,,,,
2003286,2030018,,,,
2003286,2028604,,,,
2003286,2026681,,,,
2003286,2031166,,,,
2003286,2028726,,,,
2003286,2030681,,,,
2003286,2024870,,,,
2003286,2025949,,,,
2003286,2029678,,,,
2003286,2031396,,,,
2003286,2030748,,,,
2003286,2026685,,,,
2003286,2030008,,,,
2003286,2029733,,,,
2003286,2029661,,,,
2003286,2030732,,,,
2003286,2029724,,,,
2003286,2025941,,,,
2003286,2029898,,,,
2003286,2025945,,,,
2003286,2029738,,,,
2003286,2029593,,,,
2003286,2030086,,,,
2003286,2022711,,,,
2003286,2029707,,,,
2003286,2028065,,,,
2003286,2029251,,,,
2003286,2026541,,,,
2003286,2025939,,,,
2003286,2029904,,,,
2003286,2029972,,,,
2003286,2029731,,,,
2003286,2029896,,,,
2003286,2029386,,,,
2003286,2025959,,,,
2003286,2029732,,,,
2003286,2029895,,,,
2003286,2030733,,,,
2003286,2029899,,,,
2003286,2030073,,,,
2003286,2026544,,,,
2003286,2029644,,,,
2003286,2030077,,,,
2003286,2029900,,,,
2003286,2029728,,,,
2003286,2031385,,,,
2003286,2028302,,,,
2003286,2029640,,,,
2003286,2028318,,,,
2003286,2029683,,,,
2003286,2025953,,,,
2003286,2028620,,,,
2003286,2029205,,,,
2003286,2029558,,,,
2003286,2024887,,,,
2003286,2029679,,,,
2003286,2034321,,,,
2003286,2029250,,,,
2003286,2025948,,,,
2003286,2029512,,,,
2003286,2028070,,,,
2003286,2027940,,,,
2003286,2029984,,,,
2003286,2026543,,,,
2003286,2035402,,,,
2003286,2029400,,,,
2003286,2028685,,,,
2003286,2032613,,,,
2003286,2025954,,,,
2003286,2029743,,,,
